S.no.,k,Success Rate,Collision Rate,Nav Time,Total Reward,Freq. Danger,Avg. Min. Separation dist in Danger,Configuration of Robot,Configuration of humans
1,1,0.0,1.0,25,-0.5843676227330913,0.0,0,"[[(7.0, -0.9), (-3.5, 0.7)]]","[[(1.0, -3.8), (-6.2, -0.0)], [(-1.0, -2.7), (-0.9, 7.2)], [(-7.0, -0.0), (-4.1, -0.6)], [(-5.9, -0.8), (-1.1, -7.0)], [(0.8, -7.2), (0.9, -3.8)], [(4.5, 1.0), (-0.4, -4.9)], [(1.2, -0.6), (1.2, 3.0)], [(-2.3, -0.9), (2.6, 0.5)]]"
1,1,0.0,1.0,25,-0.75,0.0,0,"[[(6.7, 0.9), (0.7, -3.6)]]","[[(-7.2, -1.0), (3.1, 0.2)], [(-1.0, 3.4), (0.5, 3.5)], [(-6.9, 0.2), (-7.2, 0.2)], [(7.1, 0.7), (1.1, 6.4)], [(1.1, 3.3), (0.8, -5.4)], [(0.3, 4.9), (-5.0, -0.5)], [(-1.1, 2.3), (-5.9, 0.7)], [(1.1, 6.4), (5.9, 0.2)]]"
1,1,0.0,1.0,25,-0.75,0.0,0,"[[(0.4, 6.4), (-6.7, 1.0)]]","[[(-0.6, -4.4), (-0.5, 5.8)], [(-0.7, -3.2), (-1.1, -3.8)], [(-5.5, -0.5), (2.5, -0.5)], [(1.1, 6.0), (-3.0, -0.0)], [(6.3, 1.1), (6.8, 0.4)], [(5.4, 0.2), (-5.7, 0.2)], [(-1.5, 0.4), (-2.2, -1.0)], [(4.4, 0.1), (1.2, 6.9)]]"
1,1,0.0,1.0,25,-0.6733810257463942,0.0,0,"[[(0.8, 3.3), (-4.7, -1.1)]]","[[(-0.1, 2.5), (4.0, 0.1)], [(-0.3, 4.8), (2.9, -1.1)], [(0.4, 5.7), (6.8, 0.6)], [(-6.8, 0.7), (0.7, 4.3)], [(4.1, -1.2), (-0.4, -5.5)], [(-1.2, -0.6), (5.9, -1.1)], [(3.8, 0.7), (-3.4, -0.8)], [(-0.9, -4.0), (7.2, -1.0)]]"
1,1,0.0,1.0,25,-0.5643358365447524,0.5,0.09251087364469496,"[[(5.2, -0.2), (-1.1, -3.2)]]","[[(1.1, 2.4), (0.4, 2.4)], [(-0.4, 4.2), (0.8, -5.3)], [(-0.8, 0.5), (-0.6, -3.8)], [(-0.8, -6.8), (5.3, 0.4)], [(2.6, 0.7), (3.0, 0.2)], [(-1.1, 7.1), (-1.1, -5.0)], [(5.3, -1.1), (-3.6, 1.2)], [(-5.4, 1.2), (0.6, 6.0)]]"
1,1,0.0,1.0,25,-0.5790633262446722,0.4,0.09044000656131124,"[[(3.7, 0.4), (-3.1, -0.2)]]","[[(0.2, 6.4), (-0.5, 2.3)], [(-1.0, 6.7), (4.7, -1.0)], [(1.0, -4.9), (-0.1, -6.6)], [(0.9, 1.2), (6.8, 0.9)], [(-0.1, 2.3), (0.8, -5.8)], [(-3.1, -0.4), (-5.1, 0.4)], [(-1.2, -0.3), (4.7, 0.6)], [(-5.9, 0.4), (2.4, 0.9)]]"
1,1,0.0,1.0,25,-0.75,0.0,0,"[[(5.6, 0.3), (-7.0, -0.3)]]","[[(0.8, 1.4), (-1.0, 5.5)], [(-0.0, 7.1), (1.2, -7.2)], [(-1.2, -7.0), (-0.2, -6.5)], [(-2.6, -0.6), (-3.3, 0.1)], [(5.2, 0.2), (-0.5, -4.2)], [(-0.1, -6.7), (2.8, -0.7)], [(-4.5, -0.9), (0.4, 5.1)], [(-6.4, -0.5), (-5.5, -0.1)]]"
1,1,0.0,1.0,25,-0.75,0.0,0,"[[(-3.2, -1.1), (0.2, -2.6)]]","[[(-0.8, -6.1), (-6.8, 0.5)], [(-1.3, 0.2), (-5.4, -0.4)], [(3.2, 1.0), (5.9, 0.1)], [(1.0, -4.9), (4.0, -0.6)], [(-2.7, -0.9), (2.1, 0.1)], [(-0.1, 3.0), (0.0, 2.2)], [(0.6, 7.1), (0.3, -6.5)], [(0.5, -3.5), (-3.3, -0.7)]]"
1,1,0.0,1.0,25,-0.7293966883513403,0.8,0.011194248033382648,"[[(-0.9, 3.4), (3.0, 1.2)]]","[[(0.4, 4.4), (0.7, 7.0)], [(5.6, 0.2), (-0.7, 3.6)], [(-0.5, 6.6), (0.8, -7.0)], [(-1.8, 0.2), (-3.3, 0.7)], [(-6.9, -0.3), (0.2, -3.5)], [(-1.7, -1.2), (5.6, 0.1)], [(1.2, -5.7), (-6.0, -0.3)], [(0.0, 3.4), (-3.8, -0.5)]]"
1,1,1.0,0.0,3.75,1.0922519621813962,0.2,0.0851429272396866,"[[(-4.4, 0.8), (0.8, 2.1)]]","[[(0.3, -2.9), (-1.2, -6.1)], [(-5.3, 0.6), (-3.3, 0.1)], [(4.8, 0.9), (-4.7, 0.9)], [(0.8, 4.1), (4.6, 1.1)], [(-0.8, 2.5), (4.0, 0.2)], [(-0.1, -0.6), (1.1, -5.6)], [(-0.7, -4.5), (0.5, -4.5)], [(-7.0, -0.1), (-0.1, -5.4)]]"
1,1,1.0,0.0,6.25,0.7353240093871641,0.0,0,"[[(-0.4, -4.4), (2.3, 1.0)]]","[[(-1.3, -0.9), (-4.4, -0.2)], [(-0.4, 0.5), (-1.0, -4.9)], [(2.5, -0.3), (7.0, -0.6)], [(-6.7, -0.8), (-0.9, -2.3)], [(0.7, -0.6), (-3.0, 0.1)], [(-3.4, -0.2), (-1.0, 4.2)], [(0.9, 6.5), (4.2, -1.0)], [(-2.4, 1.0), (-0.1, -6.0)]]"
1,1,0.0,1.0,25,-0.75,0.0,0,"[[(5.3, 0.8), (0.2, 2.5)]]","[[(1.1, -2.0), (0.7, -7.2)], [(0.1, -0.2), (0.1, 4.3)], [(-0.9, 0.7), (-1.1, 4.2)], [(0.9, 6.9), (-6.4, 0.2)], [(-1.9, 0.4), (6.8, 0.5)], [(0.6, 1.0), (2.1, -1.0)], [(0.1, 4.7), (-2.4, 0.1)], [(4.8, 0.3), (1.0, 3.3)]]"
